Question,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Category,Assignee
Who was the first person to set foot on the moon?,Buzz Aldrin,Louis Armstrong,Neil Armstrong,Yuri Gagarin,Science,Min Ji
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Helium,Science,Min Ji
What planet is known as the Red Planet?,Venus ,Mars,Jupiter,Saturn,Science,Min Ji
What is H2O more commently known as?,Water,Hydrogen,Oxygen,Helium,Science,Min Ji
What does a thermometer measure?,Pressure,Temperature,Humidity,Wind speed,Science,Min Ji
What is the process by which plants make their own food?,Respiration,Photosynthesis,Fermentation,Evaporation,Science,Min Ji
Which part of the human body produces insulin?,Liver,Pancreas,Kidney,Heart,Science,Min Ji
What do bees collect from flowers?,Sap,Water,Nectar,Chlorophyll,Science,Min Ji
Humans have more than one heart.,TRUE,FALSE,,,Science,Min Ji
What is the main gas in the Earth's atmostphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,Science,Min Ji
Which gas is responsible for making balloons float?,Oxygen,Carbon Dioxide,Helium,Hydrogen,Science,Min Ji
What type of energy is stored in food?,Kinetic,Thermal,Chemical,Nuclear,Science,Min Ji
Which element is essential for bones and teeth?,Iron,Calcium,Magnesium,Zinc,Science,Min Ji
Which of the following particles has no electric charge?,Proton,Neutron,Electron,Photon,Science,Min Ji
Which famous equation describes the relationship between mass and energy?,F = ma,E = mc^2,PV = nRT,V = IR,Science,Min Ji
Which element has the highest melting point?,Tungsten,Iron,Platinum,Carbon,Science,Min Ji
What type of star is the Sun?,Red Giant,White Dwarf,Yellow Dwarf,Neutron Star,Science,Min Ji
Which scientist is known for their work on radioactivity?,Marie Curie,Louis Pasteur,Michael Faraday,James Watson,Science,Min Ji
What is the largest organ in the human body?,Heart,Liver,Skin,Stomach,Science,Min Ji
Which of the following is NOT an actual scientific unit?,Joule,Ohm,Snickerdoodle,Pascal,Science,Min Ji
Which is the only planet that spins backward?,Venus ,Saturn,Mars,Jupiter,Science,Min Ji
What do you call the bending of light as it passes from one medium to another?,Reflection,Refraction,Diffraction,Dispersion,Science,Min Ji
Which type of electromagnetic wave has the highest energy?,Radio Waves,Infrared,Ultraviolet,Gamma Rays,Science,Min Ji
What color does copper turn when it oxidizes?,Red,Blue,Green,Black,Science,Min Ji
What is the largest moon in our solar system?,Titan,Ganymede,Europa,Io,Science,Min Ji
What is the name of the galaxy that contains our solar system?,Andromeda,Milky Way,Whirlpool,Triangulum,Science,Min Ji
What was the first human-made object to reach space?,Sputnik 1,Apollo 11,Voyager 1,Hubble Telescope,Science,Min Ji
What do you call a scientist who studies earthquakes?,Volcanologist,Seismologist,Meteorologist,Geologist,Science,Min Ji
Which of the following waves is NOT part of the electromagnetic spectrum?,Radio Waves,Sound Waes,X-Rays,Gamma Rays,Science,Min Ji
What color of light has the shortest wavelength?,Red,Green,Blue,Violet,Science,Min Ji
What type of blood vessel carries blood back to the heart?,Artery,Capillary,Vein,Nerve,Science,Min Ji
Which animal has the largest brain relative to its body size?,Dolphin,Elephant,Human,Octopus,Science,Min Ji
What is the chemical symbol for gold?,Ag,Au,Pb,Go,Science,Min Ji
What is the name of the process in which a ilquid turns into a gas?,Condensation,Sublimation,Evaporation,Freezing,Science,Min Ji
What is the name of the process in which a liquid turns into a solid?,Evaporation,Condensation,Freezing,Melting,Science,Min Ji
What is the name of the process in which a gas turns into a solid?,Melting,Sublimation,Deposition,Freezing,Science,Min Ji
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Science,Min Ji
What is the deepest place in the ocean?,Marianas Trench,Great Barrier Reef,Challenger Deep,Bermuda Triangle,Science,Min Ji
Which metal is liquid at room temperature?,Iron,Mercury,Aluminum,Lead,Science,Min Ji
What is the only letter that does NOT appear in the periodic table?,J,X,W,Z,Science,Min Ji
Which acid is found in lemons?,Sulfuric Acid,Hydrochloric Acid,Acetic Acid,Citric Acid,Science,Min Ji
What type of energy is stored in a stretched rubber band?,Elastic Potential Energy,Kinetic Energy,Chemical Energy,Nuclear Energy,Science,Min Ji
Which subatomic particle has a negative charge?,Electron,Proton,Neutron,Positron,Science,Min Ji
What simple machine is a wheel with a rope around it?,Lever,Pulley,Inclined Plane,Wedge,Science,Min Ji
Which law states that the total energy of an isolated system remain constant?,Ohm's Law,Newton's First Law,Bernoulli's Principle,Law of Conservation of Energy,Science,Min Ji
What do we call the force that resists motion between two surfaces in contact?,Gravity,Momentum,Acceleration,Friction,Science,Min Ji
What planet do we live on?,Mars,Venus,Jupiter,Earth,Science,Min Ji
What is the color of sky on a clear day?,Blue,Green,Red,Yellow,Science,Min Ji
Which part of your body lets you smell?,Nose,Ears,Hands,Eyes,Science,Min Ji
What shape is the Earth?,Flat,Cube,Pyramid,Sphere,Science,Min Ji
What do we call frozen water?,Steam,Vapor,Rain,Ice,Science,Min Ji
What do fish use to breathe underwater?,Gills,Lungs,Nostrils,Fins,Science,Min Ji
What do birds use to fly?,Tail,Beak,Legs,Wings,Science,Min Ji
How many legs does a spider have?,2,8,4,6,Science,Min Ji
What do we call young frogs?,Fish,Caterpillars,Ducklings,Tadpoles,Science,Min Ji
Which part of the human body has the most bones?,Spine,Feet,Skull,Hands,Science,Min Ji
Which part of the Earth's structure is the hottest?,Crust,Mantle,Outer Core,Inner Core,Science,Min Ji
What is the study of sound called?,Thermodynamics,Optics,Magnetism,Acoustics,Science,Min Ji
What common material is made from sand?,Rubber,Plastic,Clay,Glass,Science,Min Ji
Which of the following animals can survive in space without a spacesuit?,Tardigrade,Cockroach,Jellyfish,Goldfish,Science,Min Ji
"In football (soccer), which player is allowed to touch the ball with his hand anywhere on the field of play?",Goalkeeper,Striker,Winger,None,Sports,Fei
One of the differences between rugby union and rugby league is the number of players per team. Which position does not exist in a rugby league side?,Flanker,Full back,Fly half,Hooker,Sports,Fei
"In the game of cricket, from which wood are the bats traditionally made?",Ash,Oak,Willow,Beech,Sports,Fei
"In international volleyball competitions, how many members are allowed per team, not including substitutes?",5,6,7,8,Sports,Fei
"In the game of tennis, which of the following is not a type of playing surface?",Grass,Clay,Hardcourt,Softcourt,Sports,Fei
Kendo is a minority sport outside of Japan. What is the name for someone who practices this martial art?,Kendoha,Kendoma,Kendoka,Kendoga,Sports,Fei
The sport of netball led to the introduction of basketball.,TRUE,FALSE,,,Sports,Fei
In which country was modern field hockey developed?,England,Pakistan,India,USA,Sports,Fei
There are some very strange sports that happen in various parts of the world. Which one of the listed events is not a real one?,Bog snorkeling,Elephant polo,Llama wrestling,Lawn mower racing,Sports,Fei
"Up to, and including, the 2008 Beijing Olympics, which of the following sports had not been included in any of the official modern Games?",Water skiing,Cricket,Croquet,Golf,Sports,Fei
Which country has won the most Olympic Games gold medals?,USA,China,Russia,Germany,Sports,Fei
Which sport is played on the largest field?,Soccer,Polo,Cricket,Rugby,Sports,Fei
In which sport can you score a 'home run'?,Baseball,Cricket,Hockey,Football,Sports,Fei
How many players are there on a basketball team?,5,6,7,8,Sports,Fei
Which country won the FIFA World Cup in 2018?,Brazil,Germany,France,Argentina,Sports,Fei
What is the national sport of Japan?,Karate,Sumo Wrestling,Judo,Kendo,Sports,Fei
Which tennis tournament is played on a grass court?,French Open,US Open,Australian Open,Wimbledon,Sports,Fei
In which sport would you perform a 'slam dunk'?,Basketball,Volleyball,Tennis,Badminton,Sports,Fei
Which country is known as the birthplace of cricket?,Australia,India,England,South Africa,Sports,Fei
How many holes are there in a standard round of golf?,9,12,18,21,Sports,Fei
"Which sport uses a net, a shuttlecock, and rackets?",Tennis,Badminton,Squash,Table Tennis,Sports,Fei
In which sport is the term 'love' used to denote a score of zero?,Badminton,Tennis,Golf,Basketball,Sports,Fei
Which country has won the most Rugby World Cups?,Australia,England,South Africa,New Zealand,Sports,Fei
In which sport would you find a 'puck'?,Ice Hockey,Field Hockey,Lacrosse,Curling,Sports,Fei
Which athlete is known as the 'Fastest Man Alive'?,Carl Lewis,Usain Bolt,Michael Johnson,Tyson Gay,Sports,Fei
Which sport is associated with the term 'checkmate'?,Chess,Boxing,Fencing,Wrestling,Sports,Fei
In which sport do teams compete for the 'Stanley Cup'?,Basketball,Ice Hockey,Baseball,American Football,Sports,Fei
Which country hosted the 2016 Summer Olympics?,China,Brazil,UK,Russia,Sports,Fei
Which sport involves tucks and pikes?,Diving,Gymnastics,Figure Skating,All of the above,Sports,Fei
Which country has won the most Cricket World Cups?,India,Australia,West Indies,England,Sports,Fei
In which sport is the 'Vince Lombardi Trophy' awarded?,Basketball,Baseball,American Football,Ice Hockey,Sports,Fei
Which sport is known as the 'king of sports'?,Soccer,Basketball,Tennis,Cricket,Sports,Fei
Which country is famous for the martial art 'Taekwondo'?,China,Japan,South Korea,Thailand,Sports,Fei
In which sport would you use a 'putter'?,Golf,Croquet,Polo,Billiards,Sports,Fei
Which sport is associated with the 'Ashes' series?,Rugby,Cricket,Soccer,Tennis,Sports,Fei
Which country won the first FIFA World Cup in 1930?,Brazil,Argentina,Uruguay,Italy,Sports,Fei
In which sport is the term 'bogey' used?,Golf,Baseball,Basketball,Soccer,Sports,Fei
Which sport is played on the 'pitch'?,Cricket,Soccer,Rugby,All of the above,Sports,Fei
Which country is known for the sport of 'Hurling'?,Scotland,Ireland,Wales,England,Sports,Fei
In which sport would you perform a 'double axel'?,Gymnastics,Diving,Figure Skating,Trampolining,Sports,Fei
Which sport uses the term 'scrum'?,Soccer,Rugby,Basketball,Water Polo,Sports,Fei
Which country is known for the sport of 'Kabaddi'?,India,Pakistan,Bangladsh,Sri Lanka,Sports,Fei
In which sport is the 'Claret Jug' awarded?,Tennis,Golf,Polo,Cricket,Sports,Fei
Which sport is associated with the 'Davis Cup'?,Tennis,Badminton,Squash,Table Tennis,Sports,Fei
Which country is famous for the 'Maori Haka' dance?,New Zealand,Australia,South Africa,Fiji,Sports,Fei
Which sport is associated with the term 'Ace'?,Tennis,Badminton,Volleyball,Soccer,Sports,Fei
In which sport is the 'Tour de France' held?,Baseball,Soccer,Cycling,Tennis,Sports,Fei
Which country is famous for the sport 'Boxing'?,USA,Mexico,Russia,Thailand,Sports,Fei
Which sport uses the term 'Par'?,Golf,Tennis,Soccer,Basketball,Sports,Fei
Which is the highest score possible in a game of bowling?,200,250,300,350,Sports,Fei
Which country won the most gold medals in the 2008 Beijing Olympics?,USA,China,Russia,Germany,Sports,Fei
In which sport do you use a 'cue' stick?,Snooker,Badminton,Polo ,Table Tennis,Sports,Fei
Which sport is famous for the 'Grand Slam'?,Baseball,Tennis,Soccer,Golf,Sports,Fei
Which athlete holds the record for the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Sports,Fei
The 'Ashes' is a cricket series played between which two countries?,India and Pakistan,Australia and England,South Africa and New Zealand,West Indies and Sri Lanka,Sports,Fei
"In basketball, how many points is a free throw worth?",1,2,3,Depends,Sports,Fei
Which country hosted the 2016 Summer Olympics?,China,Brazil,UK,Russia,Sports,Fei
In which year did Roger Federer win his first Wimbledon title?,2001,2003,2005,2007,Sports,Fei
In which sport is the term 'birdie' used?,Golf,Badminton,Tennis,Cricket,Sports,Fei
Which female tennis player has won the most Grand Slam titles?,Serena Williams,Steffi Graf,Margaret Court,Martina Navratilova,Sports,Fei
Which boxer was known as 'The Greatest' and 'The People's Champion'?,Mike Tyson,Muhammad Ali,Joe Frazier,George Foreman,Sports,Fei
In which sport would you perform a 'hat-trick'?,Cricket,Soccer,Ice Hockey,All of the above,Sports,Fei
Which country has won the most Olympic medals in total?,Russia,China,USA,Germany,Sports,Fei
Which female gymnast has won the most Olympic medals?,Nadia Comăneci,Simone Biles,Larisa Latynina,Shannon Miller,Sports,Fei
Which country has won the most FIFA Women's World Cups?,Germany,USA,Norway,Japan,Sports,Fei
In which sport is the 'Green Jacket' awarded?,Tennis,Golf,Snooker,Horse Racing,Sports,Fei
Which male tennis player has won the most Grand Slam titles?,Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras,Sports,Fei
In which sport would you perform a 'double fault'?,Volleyball,Tennis,Badminton,Squash,Sports,Fei
Which country won the Rugby World Cup in 2019?,Australia,England,South Africa,New Zealand,Sports,Fei
Which female athlete has won the most Olympic gold medals?,Larisa Latynina,Simone Biles,Jenny Thompson,Birgit Fischer,Sports,Fei
In which sport would you find a 'knockout'?,Wrestling,Boxing,Karate,Judo,Sports,Fei
Which country has hosted the most Olympic Games?,USA,UK,France,Japan,Sports,Fei
In which sport is the term 'offside' used?,Soccer,Basketball,Cricket,All of the above,Sports,Fei
In which sport would you find the term 'bullseye'?,Archery,Darts,Shooting,All of the above,Sports,Fei
Which country won the first ICC T20 World Cup?,Australia,India,Pakistan,South Africa,Sports,Fei
Who is known as the 'King of Football'?,Diego Maradona,Cristiano Ronaldo,Pele,Lionel Messi,Sports,Fei
In which sport is the 'Yellow Jersey' awarded?,Running,Cycling,Swimming,Skiing,Sports,Fei
In which sport is the term 'powerplay' used?,Basketball,Cricket,Ice Hockey,Both B and C,Sports,Fei
Which player is known as the 'Black Mamba'?,Michael Jordan,Kobe Bryant,LeBron James,Shaquille O'Neal,Sports,Fei
In which sport is the 'Claret Jug' awarded?,Golf,Horse Racing,Tennis,Both A and C,Sports,Fei
Which country won the most medals in the 2016 Rio Olympics?,China,Russia,USA,Japan,Sports,Fei
Which female athlete is known as the 'Queen of Track'?,Marion Jones,Florence Griffith-Joyner,Allyson Felix,Shelly-Ann Fraser-Pryce,Sports,Fei
In which sport would you perform a 'backflip'?,Gymnastics,Diving,Snowboarding,All of the above,Sports,Fei
Which basketball team won the most NBA Championships?,Los Angeles Lakers,Chicago Bulls,Boston Celtics,Golden State Warriors,Sports,Fei
In which sport would you find a 'maul'?,Rugby,Soccer,Basketball,Hockey,Sports,Fei
Which athlete is known as the 'Flying Finn'?,Paavo Nurmi,Hannes Kolehmainen,Lasse Viren,All of the above,Sports,Fei
In which sport is the 'Heisman Trophy' awarded?,Basketball,Baseball,American Football,Ice Hockey,Sports,Fei
Which team won the most Super Bowls?,Dallas Cowboys,New England Patriots,Pittsburgh Steelers,San Francisco 49ers,Sports,Fei
Which athlete was known as 'The Invincible'?,Michael Phelps,Usain Bolt,Serena Williams,Roger Federer,Sports,Fei
In which sport would you find a 'powerhouse'?,Rowing,Gymnastics,Boxing,All of the above,Sports,Fei
Which female tennis player was known as the 'Ice Maiden'?,Serena Williams,Steffi Graf,Chris Evert,Martina Navratilova,Sports,Fei
In which sport is the term 'grandmaster' used?,Badminton,Chess,Table Tennis,Fencing,Sports,Fei
Which athlete is known as the 'Iron Man'?,Cal Ripken Jr.,Kobe Bryant,Tom Brady,Cristiano Ronaldo,Sports,Fei
In which sport is the 'Ballon d'Or' awarded?,Basketball,Tennis,Cricket,Soccer,Sports,Fei
Which country has won the most medals in Winter Olympics history?,Norway,USA,Germany,Canada,Sports,Fei
Which athlete is known as the 'Greatest Olympian of All Time'?,Carl Lewis,Usain Bolt,Michael Phelps,Mark Spitz,Sports,Fei
Which country is famous for bullfighting?,Italy,Spain,Brazil,Mexico,Sports,Fei
What is the maximum score in a single frame of snooker?,100,147,155,200,Sports,Fei
Who holds the record for the most home runs in MLB history?,Babe Ruth,Hank Aaron,Barry Bonds,Willie Mays,Sports,Fei
Which chess piece can move in an L-shape?,Rook,Bishop,Knight,Queen,Sports,Fei
"What is the name of Tintin's dog? From ""The Adventures of Tintin"".",Coco,Buttons,Snowy,Richard,Entertainment,Vicky
Which island does King Kong discover?,Hawaii,Bahamas,Motunui,Skull Island,Entertainment,Vicky
What is the name of Shrek's wife?,Rebecca,Fiona,Jelly,Minnie,Entertainment,Vicky
"Who released the song ""Despacito""?",Juanes,Taylor Swift,Luis Fonsi,Sting,Entertainment,Vicky
What color is the capital G in the Google logo?,Green,Red,Yellow,Blue,Entertainment,Vicky
How old was Harry Potter when he entered Hogwarts?,11,13,15,8,Entertainment,Vicky
What is the minions' favorite fruit?,Kiwi,Papaya,Banana,Pineapple,Entertainment,Vicky
What language is used to describe ballet steps?,Italian,English,German,French,Entertainment,Vicky
"In The Matrix, what colored pill does Neo take?",Red,Blue,Green,Yellow,Entertainment,Vicky
Who plays drums in The Rolling Stones?,Charlie Watts,Keith Richards,Mickey Mouse,Ringo Starr,Entertainment,Vicky
Who was the lead vocalist of the band Cream?,Ginger Baker,Santa Claus,Jack Bruce,Eric Clapton,Entertainment,Vicky
In what film did Daniel Craig make his first appearance as James Bond? ,Quantum of Solace,Skyfall,Spectre,Casino Royale,Entertainment,Vicky
"Who is the main character of ""A Beautiful Mind""?",Nikola Tesla,Steven Hawking,Alexander Fleming,John Nash,Entertainment,Vicky
How much time does a sloth need to digest its food?,Five hours,One milisecond,Two weeks,Three years,Entertainment,Vicky
Who is the lead singer of the band Black Sabbath?,Homer Simpson,Ozzy Ozbourne,James Hetfield,Ronnie James Dio,Entertainment,Vicky
From which university did Natalie Portman earn a degree in psychology?,USC,Harvard,Oxford,Hogwarts,Entertainment,Vicky
"Whose novel is the sci-fi movie ""Dune"" based on?",Harper Lee,Stephen King,Frank Herbert,Ursula Le Guin,Entertainment,Vicky
Grunge music and fashion notably took root in what U.S. city?,L.A.,Seattle,NYC,Chicago,Entertainment,Vicky
What year was the first Apple iPhone released in the United States?,1999,2003,2007,2010,Entertainment,Vicky
Who is the lead singer of the band Måneskin?,Damiano David,Luciano Pavarotti,Mick Jagger,Dave Grohl,Entertainment,Vicky
What kind of dog is Scooby-Doo?,German Sheperd,Golden Retriever,Great Dane,Poodle,Entertainment,Vicky
What year was the Moon landing?,1969,1920,1877,1984,Entertainment,Vicky
What group of animal is called a murder?,Shark,Racoon,Bat,Crow,Entertainment,Vicky
What does a sommelier specialize in?,Carpentry,Pottery,Classical Music,Wine,Entertainment,Vicky
What type of alcohol is traditionally used in a margarita?,Vodka,Tequila,Rum,Gin,Entertainment,Vicky
Bambi's best friend is named what?,Tigger,Nala,Thumper,Baloo,Entertainment,Vicky
What country is Peppa Pig from?,Australia,New Zealand,England,United States,Entertainment,Vicky
"What kind of painters were Monet, Renoir, and Degas?",Surrealism,Expressionism,Impressionism,Classicism,Entertainment,Vicky
How many wives did King Henry VIII of England have?,3,4,5,6,Entertainment,Vicky
Which country produces the most coffee in the world?,Colombia,Guatemala,Brazil,Costa Rica,Entertainment,Vicky
What country invented hot dogs?,Italy,England,Germany,Spain,Entertainment,Vicky
How many cards are there in a deck of Uno?,63,81,96,108,Entertainment,Vicky
What is the official animal of Scotland?,Red squirrel,Highland cattle,Mountain hare,Unicorn,Entertainment,Vicky
What is the name of the little mermaid in the Disney movie?,Alice,Bella,Ariel,John,Entertainment,Vicky
What is the name of the toy cowboy in the movie “Toy Story”?,Woody,Mason,Jack,Blake,Entertainment,Vicky
What is the name of Mickey Mouse’s dog?,Pluto,Goofy,Simba,Pooh,Entertainment,Vicky
What is the main color of the Smurfs?,Yellow,Red,Green,Blue,Entertainment,Vicky
"Which K-pop group released the song ""Dynamite""?",EXO,BTS,Seventeen,BLACKPINK,Entertainment,Vicky
What is the name of BLACKPINK’s official fandom?,ARMY,ONCE,BLINK,MOA,Entertainment,Vicky
What is TWICE's debut song?,Cheer Up,Like OOH-AHH,TT,Fancy,Entertainment,Vicky
Which company is known for managing artists like BTS and TXT?,SM Entertainment,YG Entertainment,HYBE Corporation,JYP Entertainment,Entertainment,Vicky
Which member of BLACKPINK is from New Zealand?,Lisa,Jisoo,Jennie,Rosé,Entertainment,Vicky
"Which K-pop group released the song ""Fantastic Baby""?",BTS,EXO,SuperM,BIGBANG,Entertainment,Vicky
Who was the first K-pop group to perform at Coachella?,BLACKPINK,BTS,Epik High,EXO,Entertainment,Vicky
Who were the first K-pop artists to get a nomination at the Grammys?,CL,BTS,PSY,Sunmi,Entertainment,Vicky
"Which rookie group released the hit song ""Next Level""?",ITZY,aespa,EVERGLOW,IVE,Entertainment,Vicky
Who interrupts Taylor Swift at the VMAs?,Kanye West,Katy Perry,Selena Gomez,Justin Bieber,Entertainment,Vicky
Who played Rose in the move Titanic,Felicity Jones,Kate Winslet,Cate Blanchett,Emma Thompson,Entertainment,Vicky
When is national Star Wars day?,December 1st,January 15th,May 4th,July 9th,Entertainment,Vicky
Which movie stars Jennifer Lawrence?,Titanic,The Hunger Games,Mission Impossible,Blade Runner,Entertainment,Vicky
"Fill the movie quote from ""Forrest Gump"": Life is a box of __?",Chocolate,Jelly beans,Tissues,Matches,Entertainment,Vicky
"What is the company name if the TV show ""The Office""?",Microsoft,Meta,Netflix,Dunder Mifflin,Entertainment,Vicky
Which movie is not directed by James Cameron?,Titanic,The Terminator,Inception,Avatar,Entertainment,Vicky
"What subject did Walter White teach in ""Breaking Bad""?",Physics,Chemistry,Biology,Mathematics,Entertainment,Vicky
How old did Queen Elizabeth II live to be?,108,99,96,87,Entertainment,Vicky
Camila Cabello used to be member of this popular girl group?,TLC,Spice Girls,Fifth Harmony,The Supremes,Entertainment,Vicky
What is the grandpa's name in The Simpsons?,Alfred,Abe,Chester,Henry,Entertainment,Vicky
"What is the name of Baby Yoda in ""Mandalorian""?",Grogu,Poppi,Kiki,Zavier,Entertainment,Vicky
What breed is Garfield?,Siamese,British shorthair,Persian,Sphynx,Entertainment,Vicky
What breed is Snoopy?,Bulldog,Beagle,Dachshund,Terrier,Entertainment,Vicky
Which country is the cartoon character Doraemon from?,China,Korea,Japan,Thailand,Entertainment,Vicky
Where is Starbucks founded?,London,New York City,San Fransico,Seattle,Entertainment,Vicky
Which anime is about pirates?,One Piece,Naruto,Clannad,Evangelion,Entertainment,Vicky
Which movie is about time travelling?,Back to the Future,Casablanca,Rocky,Princess bride,Entertainment,Vicky
What is the state flower of kansas?,Tulip,Sunflower,Scarlet Carnation,Rose,Entertainment,Vicky
Which god is Greek?,Ceres,Neptune,Jupiter,Apollo,Entertainment,Vicky
Which of following is not done by Michelangelo?,David,Sistine Chapel,The Last Judgement,The Thinker,Entertainment,Vicky
What country is the orgin of Cheddar cheese?,The UK,France,Greece,Italy,Entertainment,Vicky
Which singer is famous for the album Thriller?,Justin Timberlake,Michael Jackson,Bruno Mars,Prince,Entertainment,Vicky
Who is known for the song Rolling in the Deep?,Taylor Swift,Adele,Ariana Grande,Rihanna,Entertainment,Vicky
Which Disney princess has a pet tiger named Rajah?,Belle,Jasmine,Ariel,Pocahontas,Entertainment,Vicky
Who plays Iron Man in the Marvel movies?,Chris Hemsworth,Robert Downey Jr. ,Tom Holland,Chris Evans,Entertainment,Vicky
Which music competition show did Kelly Clarkson win?,The Voice,American Idol,The X Factor,America’s Got Talent,Entertainment,Vicky
Which band sang Bohemian Rhapsody?,The Beatles ,Queen,Led Zepplin,The Rolling Stones,Entertainment,Vicky
Which artist sang Uptown Funk with Mark Ronson?,Justine Bieber,Bruno Mars,Shawn Mendes,The Weeknd,Entertainment,Vicky
Which Kardashian is married to Travis Barker?,Kim,Kourtney,Khloe,Kendall,Entertainment,Vicky
Which actress played Hermione Granger in Harry Potter?,Natatlie Portman,Emma Watson,Kristen Stewart,Anne Hathaway,Entertainment,Vicky
"Which celebrity is known for saying ""You can’t handle the truth!""?",Al Pacino,Jack Nicholson,Tom Cruise,Robert De Niro,Entertainment,Vicky
Which game includes the phrase “Victory Royale”?,Call of Duty,Fortnite,Apex Legends,Minecraft,Entertainment,Vicky
What is SpongeBob’s best friend’s name?,Squidward,Patrick ,Sandy,Mr. Krabs,Entertainment,Vicky
What color are Mickey Mouse’s shorts?,Purple,Red,Pink,Gold,Entertainment,Vicky
What company made SpongeBob SquarePants?,Warner Bros.,Nickelodeon,Disney,MGM,Entertainment,Vicky
What country is the brand SONY founded in?,Singapore,Japan,The US,Korea,Entertainment,Vicky
Which of following animal does not hibernate?,Hedgehog,Polar bear,Turtle,Bat,Entertainment,Vicky
"Which flies a green, white, and orange (in that order) tricolor flag?",Italy,Ireland,France,Brazil,Entertainment,Vicky
Which city is home to the Brandenburg Gate?,Vienna,Berlin,London,Zurich,Entertainment,Vicky
Which of the following languages has the longest alphabet?,Greek,Russian,Arabic,English,Entertainment,Vicky
What spirit is used in making a Tom Collins?,Vodka,Gin,Rum,Whiskey,Entertainment,Vicky
Which horoscope sign is a fish?,Gemini,Pisces,Cancer,Taurus,Entertainment,Vicky
What is the largest US state (by landmass)?,Oregon,Alaska,Texas,California,Entertainment,Vicky
